epoch,accuracy,loss,val_accuracy,val_loss
0,0.019449999555945396,5.7986345291137695,0.023099999874830246,4.398677349090576
1,0.02827499993145466,4.440216064453125,0.01759999990463257,4.539516448974609
2,0.02160000056028366,4.502127170562744,0.022099999710917473,4.50005578994751
3,0.018324999138712883,4.477956295013428,0.017899999395012856,4.471235752105713
4,0.017274999991059303,4.463101387023926,0.019999999552965164,4.4432291984558105
5,0.01850000023841858,4.45107364654541,0.01810000091791153,4.432224273681641
0,0.06647499650716782,4.208780288696289,0.09539999812841415,3.936995267868042
1,0.1156499981880188,3.84613037109375,0.12110000103712082,3.818690538406372
2,0.1311749964952469,3.7737653255462646,0.13740000128746033,3.74539852142334
3,0.14167499542236328,3.737142562866211,0.11230000108480453,3.9231579303741455
4,0.14339999854564667,3.722975730895996,0.12479999661445618,3.8550221920013428
5,0.14467500150203705,3.7182390689849854,0.13600000739097595,3.8187386989593506
6,0.1454000025987625,3.7173237800598145,0.1396999955177307,3.801907539367676
7,0.14697499573230743,3.7104594707489014,0.13279999792575836,3.8317086696624756
0,0.06707499921321869,4.211298942565918,0.11029999703168869,3.89044451713562
1,0.11592499911785126,3.8421268463134766,0.11990000307559967,3.8162856101989746
2,0.13179999589920044,3.772111654281616,0.1362999975681305,3.7520909309387207
3,0.13847500085830688,3.7365221977233887,0.13279999792575836,3.766197681427002
4,0.14297500252723694,3.718430519104004,0.1306000053882599,3.767277240753174
0,0.0758500024676323,4.101677417755127,0.1088000014424324,3.810169219970703
1,0.1282999962568283,3.7340667247772217,0.14069999754428864,3.682502031326294
2,0.15600000321865082,3.5984551906585693,0.1453000009059906,3.6867706775665283
3,0.17329999804496765,3.5139036178588867,0.14169999957084656,3.7174336910247803
4,0.18117499351501465,3.4624011516571045,0.16269999742507935,3.627018690109253
0,0.07294999808073044,4.10817289352417,0.10779999941587448,3.851560115814209
1,0.13285000622272491,3.714337110519409,0.1573999971151352,3.6247293949127197
2,0.15625,3.5812785625457764,0.15809999406337738,3.5946671962738037
3,0.17172500491142273,3.500288248062134,0.15620000660419464,3.582188606262207
4,0.18277500569820404,3.4475648403167725,0.17339999973773956,3.492077350616455
0,0.06502500176429749,4.15000581741333,0.10339999943971634,3.8461756706237793
1,0.12222500145435333,3.758734703063965,0.15080000460147858,3.622953176498413
2,0.14947499334812164,3.595548152923584,0.15729999542236328,3.585542678833008
3,0.1639000028371811,3.510791063308716,0.17399999499320984,3.5002827644348145
4,0.17682500183582306,3.4526543617248535,0.17249999940395355,3.4927210807800293
