acc_train,acc_val,loss_train,loss_val,layers_units,learning_rate
"[0.07247500121593475, 0.13410000503063202, 0.16167500615119934, 0.18242500722408295, 0.19740000367164612, 0.21222500503063202, 0.22519999742507935]","[0.11479999870061874, 0.14910000562667847, 0.16740000247955322, 0.18320000171661377, 0.18320000171661377, 0.19280000030994415, 0.20550000667572021]","[4.1353325843811035, 3.729046583175659, 3.573164939880371, 3.4623639583587646, 3.3726320266723633, 3.2966723442077637, 3.226003646850586]","[3.8483519554138184, 3.6538753509521484, 3.566657304763794, 3.4734671115875244, 3.4458062648773193, 3.41320538520813, 3.3286964893341064]","[128, 512, 512]",0.0001
"[0.01877499930560589, 0.027274999767541885, 0.029725000262260437, 0.03022499941289425, 0.029625000432133675, 0.030899999663233757, 0.031024999916553497]","[0.024299999698996544, 0.02319999970495701, 0.031300000846385956, 0.029899999499320984, 0.02979999966919422, 0.03060000017285347, 0.03449999913573265]","[4.436469078063965, 4.344691276550293, 4.329740047454834, 4.323930740356445, 4.322189807891846, 4.31540584564209, 4.3085246086120605]","[4.377209186553955, 4.339875221252441, 4.363317012786865, 4.330548286437988, 4.3211541175842285, 4.330255508422852, 4.319718837738037]","[128, 512, 512]",0.001
"[0.009399999864399433, 0.009425000287592411, 0.009499999694526196, 0.010300000198185444, 0.009449999779462814, 0.008975000120699406, 0.009700000286102295]","[0.009600000455975533, 0.009100000374019146, 0.007699999958276749, 0.009399999864399433, 0.010200000368058681, 0.008700000122189522, 0.010900000110268593]","[4.666042327880859, 4.610384464263916, 4.610369682312012, 4.610337734222412, 4.610087871551514, 4.610554218292236, 4.6103386878967285]","[4.611335754394531, 4.6124444007873535, 4.610867977142334, 4.610246181488037, 4.609546661376953, 4.609871864318848, 4.609885215759277]","[128, 512, 512]",0.01
"[0.07747499644756317, 0.14137500524520874, 0.1719750016927719, 0.19037500023841858, 0.20999999344348907, 0.2248000055551529, 0.23772500455379486]","[0.11460000276565552, 0.15719999372959137, 0.17630000412464142, 0.18440000712871552, 0.19529999792575836, 0.21089999377727509, 0.21209999918937683]","[4.093374729156494, 3.681478500366211, 3.517437219619751, 3.4020285606384277, 3.3077034950256348, 3.222041606903076, 3.148911476135254]","[3.8036766052246094, 3.6157543659210205, 3.50386905670166, 3.4410128593444824, 3.4012856483459473, 3.3494510650634766, 3.3018362522125244]","[128, 512, 1024]",0.0001
"[0.045499999076128006, 0.06889999657869339, 0.07247500121593475, 0.07705000042915344, 0.08015000075101852, 0.0815500020980835, 0.08415000140666962]","[0.05959999933838844, 0.07519999891519547, 0.0754999965429306, 0.0771000012755394, 0.07639999687671661, 0.0746999979019165, 0.08219999819993973]","[4.2088422775268555, 4.011226654052734, 3.9693057537078857, 3.9464664459228516, 3.928436756134033, 3.9171206951141357, 3.909592866897583]","[4.116822242736816, 3.9786605834960938, 3.974181652069092, 3.9596035480499268, 3.97512149810791, 3.9958901405334473, 3.968623161315918]","[128, 512, 1024]",0.001
"[0.010049999691545963, 0.009624999947845936, 0.0085249999538064, 0.009850000031292439, 0.00930000003427267, 0.009325000457465649, 0.01002500019967556]","[0.009200000204145908, 0.008299999870359898, 0.008299999870359898, 0.010200000368058681, 0.010599999688565731, 0.008700000122189522, 0.008999999612569809]","[4.691037654876709, 4.610284805297852, 4.6104044914245605, 4.610170841217041, 4.610525608062744, 4.610287666320801, 4.6105170249938965]","[4.610605239868164, 4.611781120300293, 4.608994007110596, 4.611069202423096, 4.609323978424072, 4.611597061157227, 4.610295295715332]","[128, 512, 1024]",0.01
"[0.05517499893903732, 0.10802499949932098, 0.13819999992847443, 0.15947499871253967, 0.17622500658035278, 0.18940000236034393, 0.20229999721050262]","[0.0892999991774559, 0.12060000002384186, 0.1436000019311905, 0.1590999960899353, 0.16339999437332153, 0.17149999737739563, 0.18860000371932983]","[4.272622108459473, 3.8886468410491943, 3.7183456420898438, 3.6028010845184326, 3.5103156566619873, 3.4289979934692383, 3.359168767929077]","[4.030222415924072, 3.82725191116333, 3.7066569328308105, 3.6109371185302734, 3.5755155086517334, 3.5030629634857178, 3.423271894454956]","[128, 1024, 128]",0.0001
"[0.022299999371170998, 0.03962500020861626, 0.04912500083446503, 0.05290000140666962, 0.05640000104904175, 0.0588500015437603, 0.07114999741315842]","[0.031300000846385956, 0.050599999725818634, 0.050200000405311584, 0.05559999868273735, 0.054499998688697815, 0.06350000202655792, 0.07360000163316727]","[4.430187702178955, 4.236120700836182, 4.1457014083862305, 4.123605251312256, 4.1060566902160645, 4.0893402099609375, 4.01992130279541]","[4.322162628173828, 4.184330940246582, 4.138726711273193, 4.130108833312988, 4.117430210113525, 4.073094367980957, 4.006679534912109]","[128, 1024, 128]",0.001
"[0.009325000457465649, 0.009549999609589577, 0.009200000204145908, 0.00917499978095293, 0.010499999858438969, 0.009399999864399433, 0.009274999611079693]","[0.010099999606609344, 0.009499999694526196, 0.008299999870359898, 0.011300000362098217, 0.00839999970048666, 0.008799999952316284, 0.009399999864399433]","[4.646023273468018, 4.610187530517578, 4.610549449920654, 4.610391616821289, 4.610130786895752, 4.61005163192749, 4.610140800476074]","[4.61097526550293, 4.610618591308594, 4.611921787261963, 4.609827041625977, 4.610566139221191, 4.611301898956299, 4.609972953796387]","[128, 1024, 128]",0.01
"[0.07840000092983246, 0.1399250030517578, 0.16942499577999115, 0.1910250037908554, 0.21170000731945038, 0.22347499430179596, 0.2399750053882599]","[0.10740000009536743, 0.15919999778270721, 0.17560000717639923, 0.1876000016927719, 0.19329999387264252, 0.20810000598430634, 0.21860000491142273]","[4.096643924713135, 3.697221040725708, 3.5355710983276367, 3.411306619644165, 3.3089561462402344, 3.2276554107666016, 3.146867513656616]","[3.875419855117798, 3.6316823959350586, 3.512188673019409, 3.4430534839630127, 3.390887975692749, 3.3282227516174316, 3.2845637798309326]","[128, 1024, 512]",0.0001
"[0.03607499971985817, 0.05347499996423721, 0.05810000002384186, 0.06807500123977661, 0.08044999837875366, 0.08577500283718109, 0.0849749967455864]","[0.05779999867081642, 0.05009999871253967, 0.053700000047683716, 0.08079999685287476, 0.07880000025033951, 0.07859999686479568, 0.08669999986886978]","[4.293126106262207, 4.138159275054932, 4.098439693450928, 4.034986972808838, 3.964144468307495, 3.9276528358459473, 3.912334442138672]","[4.142893314361572, 4.13562536239624, 4.176771640777588, 3.9837558269500732, 3.9896628856658936, 3.989450454711914, 3.9534590244293213]","[128, 1024, 512]",0.001
"[0.008799999952316284, 0.00865000020712614, 0.00917499978095293, 0.009999999776482582, 0.009750000201165676, 0.00989999994635582, 0.009700000286102295]","[0.008700000122189522, 0.008299999870359898, 0.010900000110268593, 0.01140000019222498, 0.007699999958276749, 0.00860000029206276, 0.008500000461935997]","[4.687840461730957, 4.6102800369262695, 4.610174179077148, 4.610135555267334, 4.610337734222412, 4.6104326248168945, 4.610584735870361]","[4.610671520233154, 4.610319137573242, 4.6091814041137695, 4.61043643951416, 4.60924768447876, 4.611169815063477, 4.6096014976501465]","[128, 1024, 512]",0.01
"[0.08277499675750732, 0.147475004196167, 0.17692500352859497, 0.19512499868869781, 0.21652500331401825, 0.2333499938249588, 0.24902500212192535]","[0.12460000067949295, 0.1581999957561493, 0.17339999973773956, 0.18619999289512634, 0.20309999585151672, 0.2125999927520752, 0.21250000596046448]","[4.05504846572876, 3.651245594024658, 3.4881629943847656, 3.371612548828125, 3.265143632888794, 3.1717405319213867, 3.0913641452789307]","[3.7786083221435547, 3.5873026847839355, 3.484309434890747, 3.431217670440674, 3.34622859954834, 3.311650037765503, 3.2908811569213867]","[128, 1024, 1024]",0.0001
"[0.020375000312924385, 0.027425000444054604, 0.029650000855326653, 0.03032499924302101, 0.02877499908208847, 0.02905000001192093, 0.02979999966919422]","[0.023000000044703484, 0.023900000378489494, 0.028599999845027924, 0.025200000032782555, 0.02630000002682209, 0.020800000056624413, 0.030799999833106995]","[4.419002532958984, 4.345003604888916, 4.334674835205078, 4.329303741455078, 4.331881523132324, 4.3426432609558105, 4.318820953369141]","[4.419271945953369, 4.359046936035156, 4.333979606628418, 4.379079818725586, 4.340965270996094, 4.506464004516602, 4.337010860443115]","[128, 1024, 1024]",0.001
"[0.009575000032782555, 0.010250000283122063, 0.009200000204145908, 0.009349999949336052, 0.009875000454485416, 0.009949999861419201, 0.009449999779462814]","[0.008700000122189522, 0.00989999994635582, 0.010200000368058681, 0.009499999694526196, 0.00860000029206276, 0.010099999606609344, 0.010200000368058681]","[4.728063583374023, 4.611467361450195, 4.61007022857666, 4.610495567321777, 4.610250949859619, 4.610127925872803, 4.610434532165527]","[4.611207485198975, 4.611133098602295, 4.612246036529541, 4.61257266998291, 4.61055326461792, 4.611274242401123, 4.610268592834473]","[128, 1024, 1024]",0.01
"[0.04975000023841858, 0.10414999723434448, 0.12997500598430634, 0.1500999927520752, 0.1665000021457672, 0.1768999993801117, 0.1913750022649765]","[0.08839999884366989, 0.11680000275373459, 0.13289999961853027, 0.14380000531673431, 0.1589999943971634, 0.1606999933719635, 0.1729000061750412]","[4.306972980499268, 3.9254257678985596, 3.763672351837158, 3.6554617881774902, 3.5698485374450684, 3.501558303833008, 3.4390180110931396]","[4.022442817687988, 3.847883939743042, 3.765131711959839, 3.6943066120147705, 3.6134543418884277, 3.5923335552215576, 3.5281784534454346]","[512, 128, 128]",0.0001
"[0.047200001776218414, 0.10140000283718109, 0.1324000060558319, 0.1521500051021576, 0.1695999950170517, 0.17784999310970306, 0.19077500700950623]","[0.08110000193119049, 0.11180000007152557, 0.13379999995231628, 0.1518000066280365, 0.16169999539852142, 0.15459999442100525, 0.1746000051498413]","[4.2678422927856445, 3.8529293537139893, 3.681459665298462, 3.564176559448242, 3.4766762256622314, 3.4121508598327637, 3.351069927215576]","[3.9855234622955322, 3.804797649383545, 3.677523374557495, 3.5778679847717285, 3.5119035243988037, 3.572075366973877, 3.464548110961914]","[512, 128, 128]",0.001
"[0.009875000454485416, 0.008999999612569809, 0.008500000461935997, 0.010900000110268593, 0.009525000117719173, 0.009074999950826168, 0.009700000286102295]","[0.010200000368058681, 0.010900000110268593, 0.008299999870359898, 0.00989999994635582, 0.010599999688565731, 0.010400000028312206, 0.008299999870359898]","[4.6923041343688965, 4.616816997528076, 4.610504627227783, 4.610385894775391, 4.610227108001709, 4.610113620758057, 4.610613822937012]","[4.609384536743164, 4.612471103668213, 4.610957622528076, 4.612250328063965, 4.611817359924316, 4.610724449157715, 4.61210298538208]","[512, 128, 128]",0.01
"[0.06772500276565552, 0.12532499432563782, 0.15152500569820404, 0.1722249984741211, 0.18702499568462372, 0.20017500221729279, 0.21324999630451202]","[0.10440000146627426, 0.13760000467300415, 0.15459999442100525, 0.17190000414848328, 0.1818999946117401, 0.19339999556541443, 0.19439999759197235]","[4.166521072387695, 3.7785303592681885, 3.6220526695251465, 3.5145370960235596, 3.4280288219451904, 3.352008104324341, 3.284210443496704]","[3.913325786590576, 3.706601858139038, 3.618995428085327, 3.537292242050171, 3.4847960472106934, 3.442244052886963, 3.4145426750183105]","[512, 128, 512]",0.0001
"[0.009650000371038914, 0.00917499978095293, 0.009025000035762787, 0.008975000120699406, 0.009274999611079693, 0.009925000369548798, 0.00989999994635582]","[0.008700000122189522, 0.00839999970048666, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749]","[4.608275413513184, 4.605876922607422, 4.605652809143066, 4.60565710067749, 4.60563850402832, 4.6056623458862305, 4.605649471282959]","[4.607118606567383, 4.6072468757629395, 4.607638359069824, 4.607834815979004, 4.607935428619385, 4.608000755310059, 4.60801362991333]","[512, 128, 512]",0.001
"[0.009600000455975533, 0.009724999777972698, 0.01054999977350235, 0.010425000451505184, 0.010099999606609344, 0.009475000202655792, 0.008275000378489494]","[0.010499999858438969, 0.008899999782443047, 0.007699999958276749, 0.008500000461935997, 0.011300000362098217, 0.009499999694526196, 0.010999999940395355]","[4.704439163208008, 4.610190391540527, 4.6101789474487305, 4.610263824462891, 4.610259056091309, 4.610469341278076, 4.6103315353393555]","[4.6095991134643555, 4.614139080047607, 4.611746788024902, 4.611737251281738, 4.608407497406006, 4.610412120819092, 4.612029552459717]","[512, 128, 512]",0.01
"[0.07214999943971634, 0.13609999418258667, 0.16064999997615814, 0.18400000035762787, 0.20102499425411224, 0.21754999458789825, 0.22894999384880066]","[0.1137000024318695, 0.15080000460147858, 0.16019999980926514, 0.17489999532699585, 0.19169999659061432, 0.2020999938249588, 0.20579999685287476]","[4.119815349578857, 3.7175230979919434, 3.5557456016540527, 3.4417481422424316, 3.3431437015533447, 3.2580058574676514, 3.1860930919647217]","[3.8532629013061523, 3.651860237121582, 3.578096866607666, 3.4866878986358643, 3.4043493270874023, 3.3623671531677246, 3.322669506072998]","[512, 128, 1024]",0.0001
"[0.062174998223781586, 0.12229999899864197, 0.1519249975681305, 0.16607500612735748, 0.186599999666214, 0.19577500224113464, 0.20724999904632568]","[0.1054999977350235, 0.14010000228881836, 0.1599999964237213, 0.17080000042915344, 0.1665000021457672, 0.18379999697208405, 0.18230000138282776]","[4.118317604064941, 3.7353649139404297, 3.554924726486206, 3.443044900894165, 3.3563144207000732, 3.2811827659606934, 3.210733652114868]","[3.8482682704925537, 3.6553444862365723, 3.5284676551818848, 3.4647762775421143, 3.4957172870635986, 3.4184911251068115, 3.4272613525390625]","[512, 128, 1024]",0.001
"[0.009475000202655792, 0.009274999611079693, 0.009499999694526196, 0.010099999606609344, 0.009499999694526196, 0.008899999782443047, 0.009349999949336052]","[0.009499999694526196, 0.008799999952316284, 0.008299999870359898, 0.008799999952316284, 0.008299999870359898, 0.009200000204145908, 0.009200000204145908]","[4.684997081756592, 4.610335350036621, 4.610590934753418, 4.610470294952393, 4.609958171844482, 4.6102166175842285, 4.610045433044434]","[4.610618591308594, 4.610560894012451, 4.611011505126953, 4.611629486083984, 4.610690116882324, 4.610264301300049, 4.611705303192139]","[512, 128, 1024]",0.01
"[0.057225000113248825, 0.11277499794960022, 0.13967500627040863, 0.1610250025987625, 0.18152500689029694, 0.19574999809265137, 0.20737500488758087]","[0.09690000116825104, 0.12359999865293503, 0.14020000398159027, 0.16169999539852142, 0.16140000522136688, 0.18209999799728394, 0.18940000236034393]","[4.26638650894165, 3.871128559112549, 3.7015604972839355, 3.5838191509246826, 3.4881391525268555, 3.4014816284179688, 3.3276901245117188]","[3.9978628158569336, 3.8012616634368896, 3.6994667053222656, 3.5943686962127686, 3.5789332389831543, 3.483609676361084, 3.441498041152954]","[512, 512, 128]",0.0001
"[0.051375001668930054, 0.09860000014305115, 0.13432499766349792, 0.15424999594688416, 0.171875, 0.18254999816417694, 0.19554999470710754]","[0.07530000060796738, 0.11739999800920486, 0.14399999380111694, 0.15690000355243683, 0.17010000348091125, 0.1761000007390976, 0.17509999871253967]","[4.221594333648682, 3.8750269412994385, 3.6889989376068115, 3.5614120960235596, 3.473071575164795, 3.400386333465576, 3.3406102657318115]","[4.019654273986816, 3.8201546669006348, 3.6513733863830566, 3.5554401874542236, 3.494814157485962, 3.4527952671051025, 3.4480721950531006]","[512, 512, 128]",0.001
"[0.009499999694526196, 0.009449999779462814, 0.009475000202655792, 0.009274999611079693, 0.008875000290572643, 0.009549999609589577, 0.009525000117719173]","[0.009100000374019146, 0.009399999864399433, 0.008500000461935997, 0.00860000029206276, 0.010200000368058681, 0.009800000116229057, 0.008700000122189522]","[4.73339319229126, 4.610721111297607, 4.610279560089111, 4.610352516174316, 4.610440731048584, 4.610121250152588, 4.610382080078125]","[4.610963821411133, 4.611051559448242, 4.609663486480713, 4.610208034515381, 4.609493255615234, 4.6101975440979, 4.611617088317871]","[512, 512, 128]",0.01
"[0.0758500024676323, 0.13625000417232513, 0.16722500324249268, 0.18957500159740448, 0.2081499993801117, 0.22644999623298645, 0.24197499454021454]","[0.12870000302791595, 0.15240000188350677, 0.17159999907016754, 0.17640000581741333, 0.2011999934911728, 0.20559999346733093, 0.19699999690055847]","[4.121746063232422, 3.714146137237549, 3.547581672668457, 3.4221651554107666, 3.3217992782592773, 3.2248127460479736, 3.142599582672119]","[3.8279333114624023, 3.687116861343384, 3.52878475189209, 3.4854929447174072, 3.3954031467437744, 3.3511223793029785, 3.370096445083618]","[512, 512, 512]",0.0001
"[0.07109999656677246, 0.1289750039577484, 0.15850000083446503, 0.1790499985218048, 0.19732500612735748, 0.21512499451637268, 0.22460000216960907]","[0.10140000283718109, 0.1469999998807907, 0.15469999611377716, 0.1729000061750412, 0.18729999661445618, 0.19480000436306, 0.1858000010251999]","[4.086876392364502, 3.694676637649536, 3.5332417488098145, 3.4023334980010986, 3.300550699234009, 3.2069523334503174, 3.1311235427856445]","[3.8911256790161133, 3.604537010192871, 3.567005157470703, 3.456212043762207, 3.403546094894409, 3.38033390045166, 3.4274797439575195]","[512, 512, 512]",0.001
"[0.009100000374019146, 0.009850000031292439, 0.008825000375509262, 0.01119999960064888, 0.009624999947845936, 0.008624999783933163, 0.009399999864399433]","[0.00839999970048666, 0.008799999952316284, 0.009499999694526196, 0.008799999952316284, 0.008899999782443047, 0.010400000028312206, 0.008999999612569809]","[4.7374138832092285, 4.610663890838623, 4.610175132751465, 4.609977722167969, 4.610589027404785, 4.61060094833374, 4.610043048858643]","[4.611953258514404, 4.61108922958374, 4.6114091873168945, 4.6124091148376465, 4.611461639404297, 4.610607624053955, 4.6113691329956055]","[512, 512, 512]",0.01
"[0.08267500251531601, 0.14497500658035278, 0.17537499964237213, 0.2002750039100647, 0.21844999492168427, 0.23675000667572021, 0.25427499413490295]","[0.12530000507831573, 0.1565999984741211, 0.18080000579357147, 0.1906999945640564, 0.2070000022649765, 0.21400000154972076, 0.2207999974489212]","[4.0628886222839355, 3.661978006362915, 3.4892725944519043, 3.360128402709961, 3.2510504722595215, 3.1571316719055176, 3.0625312328338623]","[3.7895917892456055, 3.608487129211426, 3.4856200218200684, 3.408083915710449, 3.3433167934417725, 3.3120694160461426, 3.24606990814209]","[512, 512, 1024]",0.0001
"[0.0732249990105629, 0.13342499732971191, 0.16660000383853912, 0.187049999833107, 0.2017499953508377, 0.2179500013589859, 0.23325000703334808]","[0.11259999871253967, 0.14959999918937683, 0.17399999499320984, 0.1777999997138977, 0.1899999976158142, 0.19670000672340393, 0.19990000128746033]","[4.062260150909424, 3.668278455734253, 3.4792394638061523, 3.351778507232666, 3.2586700916290283, 3.1619155406951904, 3.068124294281006]","[3.8194820880889893, 3.5925827026367188, 3.4547359943389893, 3.4714715480804443, 3.403226852416992, 3.373666763305664, 3.3817152976989746]","[512, 512, 1024]",0.001
"[0.009499999694526196, 0.009674999862909317, 0.009600000455975533, 0.009850000031292439, 0.009600000455975533, 0.010174999944865704, 0.01002500019967556]","[0.00860000029206276, 0.008700000122189522, 0.008700000122189522, 0.008700000122189522, 0.009499999694526196, 0.009200000204145908, 0.010599999688565731]","[4.829237461090088, 4.610306739807129, 4.610172271728516, 4.6101861000061035, 4.610435962677002, 4.610389232635498, 4.610339164733887]","[4.613490581512451, 4.6121954917907715, 4.6122517585754395, 4.612882614135742, 4.609469413757324, 4.611225605010986, 4.609306335449219]","[512, 512, 1024]",0.01
"[0.055925000458955765, 0.1154249981045723, 0.14657500386238098, 0.1687999963760376, 0.18569999933242798, 0.203125, 0.2173749953508377]","[0.09120000153779984, 0.14069999754428864, 0.14790000021457672, 0.16140000522136688, 0.18449999392032623, 0.19619999825954437, 0.19709999859333038]","[4.254201412200928, 3.8561031818389893, 3.671870231628418, 3.543644428253174, 3.440833568572998, 3.3556301593780518, 3.270814895629883]","[3.984616756439209, 3.762399196624756, 3.6553776264190674, 3.5797739028930664, 3.475618839263916, 3.4207887649536133, 3.4096250534057617]","[512, 1024, 128]",0.0001
"[0.009575000032782555, 0.010449999943375587, 0.020250000059604645, 0.02384999953210354, 0.025474999099969864, 0.027274999767541885, 0.02969999983906746]","[0.007699999958276749, 0.016100000590085983, 0.024000000208616257, 0.02370000071823597, 0.026599999517202377, 0.02969999983906746, 0.028200000524520874]","[4.608410358428955, 4.596685886383057, 4.4038848876953125, 4.357173919677734, 4.342016220092773, 4.3333611488342285, 4.3249311447143555]","[4.606576442718506, 4.491747856140137, 4.368714332580566, 4.3634161949157715, 4.352591037750244, 4.340468883514404, 4.363332748413086]","[512, 1024, 128]",0.001
"[0.009200000204145908, 0.00937500037252903, 0.009399999864399433, 0.009674999862909317, 0.009600000455975533, 0.009449999779462814, 0.009274999611079693]","[0.009499999694526196, 0.009499999694526196, 0.009600000455975533, 0.008899999782443047, 0.008999999612569809, 0.008500000461935997, 0.008700000122189522]","[4.749739646911621, 4.610301971435547, 4.610153675079346, 4.610599994659424, 4.6102294921875, 4.610780239105225, 4.609948635101318]","[4.611682415008545, 4.610073566436768, 4.611921787261963, 4.610690593719482, 4.612536907196045, 4.61187744140625, 4.612220764160156]","[512, 1024, 128]",0.01
"[0.07742500305175781, 0.1376499980688095, 0.16962499916553497, 0.19550000131130219, 0.21699999272823334, 0.23497499525547028, 0.2515999972820282]","[0.1160999983549118, 0.15600000321865082, 0.1737000048160553, 0.1882999986410141, 0.19269999861717224, 0.2053000032901764, 0.21410000324249268]","[4.099913597106934, 3.692564010620117, 3.516305923461914, 3.3828842639923096, 3.275871992111206, 3.171401023864746, 3.080582857131958]","[3.8322694301605225, 3.6329667568206787, 3.5194194316864014, 3.437394618988037, 3.3943018913269043, 3.3268487453460693, 3.3140547275543213]","[512, 1024, 512]",0.0001
"[0.07225000113248825, 0.12572500109672546, 0.15264999866485596, 0.1724500060081482, 0.19187499582767487, 0.2016499936580658, 0.21484999358654022]","[0.10300000011920929, 0.13429999351501465, 0.15600000321865082, 0.16269999742507935, 0.1858000010251999, 0.1873999983072281, 0.1923999935388565]","[4.084925174713135, 3.725226879119873, 3.5611979961395264, 3.4357707500457764, 3.3432090282440186, 3.266270399093628, 3.195162057876587]","[3.8509390354156494, 3.677910089492798, 3.566959857940674, 3.531099319458008, 3.4291374683380127, 3.4234812259674072, 3.3858234882354736]","[512, 1024, 512]",0.001
"[0.009600000455975533, 0.009600000455975533, 0.009074999950826168, 0.009624999947845936, 0.009674999862909317, 0.010200000368058681, 0.009850000031292439]","[0.008999999612569809, 0.00989999994635582, 0.010400000028312206, 0.008899999782443047, 0.009200000204145908, 0.008700000122189522, 0.00860000029206276]","[4.793749809265137, 4.610335826873779, 4.6100287437438965, 4.610372066497803, 4.610476970672607, 4.610239028930664, 4.610320091247559]","[4.61223840713501, 4.611131191253662, 4.610722541809082, 4.611063003540039, 4.611966133117676, 4.611116409301758, 4.610622882843018]","[512, 1024, 512]",0.01
"[0.08357500284910202, 0.14772500097751617, 0.18310000002384186, 0.20819999277591705, 0.22920000553131104, 0.24744999408721924, 0.2660500109195709]","[0.13019999861717224, 0.1673000007867813, 0.18809999525547028, 0.19769999384880066, 0.2102999985218048, 0.22349999845027924, 0.22450000047683716]","[4.053565502166748, 3.6402173042297363, 3.4538965225219727, 3.3110191822052, 3.1949408054351807, 3.088148832321167, 2.986406087875366]","[3.764084815979004, 3.572582721710205, 3.44281005859375, 3.388914108276367, 3.3045847415924072, 3.2539150714874268, 3.243116855621338]","[512, 1024, 1024]",0.0001
"[0.057374998927116394, 0.09382499754428864, 0.11577499657869339, 0.12995000183582306, 0.14207500219345093, 0.14742499589920044, 0.1543249934911728]","[0.08649999648332596, 0.09640000015497208, 0.12150000035762787, 0.1273999959230423, 0.13519999384880066, 0.14229999482631683, 0.14149999618530273]","[4.147723197937012, 3.8705148696899414, 3.7352757453918457, 3.6492676734924316, 3.5868277549743652, 3.536597728729248, 3.4971179962158203]","[3.9660725593566895, 3.829986333847046, 3.7251760959625244, 3.692521572113037, 3.6485707759857178, 3.622476577758789, 3.6281726360321045]","[512, 1024, 1024]",0.001
"[0.00912499986588955, 0.01080000028014183, 0.009100000374019146, 0.009600000455975533, 0.008550000376999378, 0.00925000011920929, 0.01002500019967556]","[0.008299999870359898, 0.009499999694526196, 0.008799999952316284, 0.008899999782443047, 0.009399999864399433, 0.010599999688565731, 0.00860000029206276]","[4.888313293457031, 4.610454082489014, 4.610433101654053, 4.609954833984375, 4.610440731048584, 4.610230922698975, 4.609874725341797]","[4.610663890838623, 4.610785007476807, 4.610268592834473, 4.612252712249756, 4.6101531982421875, 4.611225605010986, 4.612485885620117]","[512, 1024, 1024]",0.01
"[0.0523499995470047, 0.10249999910593033, 0.13007499277591705, 0.14832499623298645, 0.16449999809265137, 0.17947499454021454, 0.19335000216960907]","[0.08150000125169754, 0.1136000007390976, 0.12880000472068787, 0.1468999981880188, 0.16419999301433563, 0.16750000417232513, 0.17509999871253967]","[4.301152229309082, 3.9279768466949463, 3.7717854976654053, 3.66060471534729, 3.5738162994384766, 3.49654221534729, 3.4264676570892334]","[4.046299934387207, 3.8503315448760986, 3.7774949073791504, 3.68420672416687, 3.6046409606933594, 3.564835548400879, 3.5066494941711426]","[1024, 128, 128]",0.0001
"[0.05939999967813492, 0.10752499848604202, 0.13334999978542328, 0.15322500467300415, 0.16744999587535858, 0.1817999929189682, 0.1885250061750412]","[0.09520000219345093, 0.12309999763965607, 0.14419999718666077, 0.1526000052690506, 0.16590000689029694, 0.1639000028371811, 0.18129999935626984]","[4.172083377838135, 3.8347980976104736, 3.669816017150879, 3.5611417293548584, 3.4801063537597656, 3.409372329711914, 3.35578989982605]","[3.9263815879821777, 3.75083327293396, 3.6133153438568115, 3.584090232849121, 3.5105366706848145, 3.534060478210449, 3.439288377761841]","[1024, 128, 128]",0.001
"[0.00982499960809946, 0.010224999859929085, 0.009274999611079693, 0.009700000286102295, 0.010274999774992466, 0.009499999694526196, 0.009525000117719173]","[0.009499999694526196, 0.008799999952316284, 0.009100000374019146, 0.009399999864399433, 0.010999999940395355, 0.01119999960064888, 0.008500000461935997]","[4.82961368560791, 4.610043048858643, 4.610421657562256, 4.609907627105713, 4.610257625579834, 4.61004638671875, 4.61032247543335]","[4.610441207885742, 4.61378812789917, 4.611074447631836, 4.611418724060059, 4.612901210784912, 4.612371444702148, 4.61106538772583]","[1024, 128, 128]",0.01
"[0.06650000065565109, 0.1244250014424324, 0.1513500064611435, 0.16972500085830688, 0.1868000030517578, 0.20257499814033508, 0.21369999647140503]","[0.09740000218153, 0.13539999723434448, 0.1517000049352646, 0.16439999639987946, 0.17599999904632568, 0.186599999666214, 0.19619999825954437]","[4.177213191986084, 3.7831332683563232, 3.623990297317505, 3.516939401626587, 3.429635524749756, 3.3542211055755615, 3.2846624851226807]","[3.912404775619507, 3.70443058013916, 3.6489620208740234, 3.561314344406128, 3.4969887733459473, 3.451674222946167, 3.4022862911224365]","[1024, 128, 512]",0.0001
"[0.00930000003427267, 0.009025000035762787, 0.009074999950826168, 0.009325000457465649, 0.009525000117719173, 0.009525000117719173, 0.009925000369548798]","[0.009200000204145908, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749]","[4.608684539794922, 4.605867385864258, 4.6056623458862305, 4.6056318283081055, 4.605620861053467, 4.605680465698242, 4.605639457702637]","[4.607102394104004, 4.607264518737793, 4.607638359069824, 4.607785701751709, 4.607813835144043, 4.607986927032471, 4.607975006103516]","[1024, 128, 512]",0.001
"[0.009325000457465649, 0.008799999952316284, 0.009875000454485416, 0.009724999777972698, 0.010400000028312206, 0.009949999861419201, 0.010224999859929085]","[0.007699999958276749, 0.010200000368058681, 0.008899999782443047, 0.008700000122189522, 0.010200000368058681, 0.008799999952316284, 0.008999999612569809]","[4.7917327880859375, 4.610543727874756, 4.610841751098633, 4.610135555267334, 4.610052108764648, 4.610116958618164, 4.610138416290283]","[4.61123514175415, 4.6111931800842285, 4.609231472015381, 4.61046838760376, 4.612401008605957, 4.611767768859863, 4.612700939178467]","[1024, 128, 512]",0.01
