acc_train,acc_val,loss_train,loss_val,layers_units,learning_rate
"[0.010174999944865704, 0.009975000284612179, 0.0085249999538064, 0.008925000205636024, 0.009750000201165676, 0.008949999697506428, 0.009449999779462814]","[0.00860000029206276, 0.007699999958276749, 0.00989999994635582, 0.010900000110268593, 0.008700000122189522, 0.010200000368058681, 0.008799999952316284]","[4.701062202453613, 4.6104936599731445, 4.610291957855225, 4.61054801940918, 4.610725402832031, 4.610257625579834, 4.610108375549316]","[4.608382225036621, 4.610326290130615, 4.610767364501953, 4.6107659339904785, 4.613245964050293, 4.611870765686035, 4.6107330322265625]","[512, 128]",0.01
"[0.074924997985363, 0.13404999673366547, 0.1624000072479248, 0.18275000154972076, 0.1983499974012375, 0.21455000340938568, 0.2316499948501587]","[0.11180000007152557, 0.148499995470047, 0.16519999504089355, 0.1738000065088272, 0.1881999969482422, 0.188400000333786, 0.20260000228881836]","[4.146636486053467, 3.758335828781128, 3.6005167961120605, 3.4849202632904053, 3.3924522399902344, 3.3126816749572754, 3.2363197803497314]","[3.901705026626587, 3.707596778869629, 3.5948328971862793, 3.5320382118225098, 3.4530632495880127, 3.430346965789795, 3.383730411529541]","[512, 512]",0.0001
"[0.07575000077486038, 0.1344749927520752, 0.16245000064373016, 0.1770000010728836, 0.19120000302791595, 0.20182499289512634, 0.21332499384880066]","[0.12359999865293503, 0.14630000293254852, 0.15410000085830688, 0.17499999701976776, 0.1762000024318695, 0.18019999563694, 0.19660000503063202]","[4.056883335113525, 3.686610460281372, 3.5325164794921875, 3.4312074184417725, 3.353504180908203, 3.2824559211730957, 3.2267489433288574]","[3.7638089656829834, 3.621023416519165, 3.5598583221435547, 3.5089523792266846, 3.4617366790771484, 3.467487096786499, 3.4108543395996094]","[512, 512]",0.001
"[0.009750000201165676, 0.009549999609589577, 0.009600000455975533, 0.009999999776482582, 0.010324999690055847, 0.009875000454485416, 0.008849999867379665]","[0.007699999958276749, 0.007699999958276749, 0.008700000122189522, 0.008700000122189522, 0.008700000122189522, 0.010200000368058681, 0.008299999870359898]","[4.820822238922119, 4.610750675201416, 4.610607147216797, 4.6101226806640625, 4.609958648681641, 4.6103692054748535, 4.61028528213501]","[4.611629486083984, 4.610169887542725, 4.612406253814697, 4.6113152503967285, 4.612053394317627, 4.6100640296936035, 4.611464500427246]","[512, 512]",0.01
"[0.08037500083446503, 0.14104999601840973, 0.17162500321865082, 0.19175000488758087, 0.21160000562667847, 0.23025000095367432, 0.24397499859333038]","[0.11580000072717667, 0.1454000025987625, 0.17260000109672546, 0.18410000205039978, 0.20409999787807465, 0.20520000159740448, 0.2071000039577484]","[4.090972900390625, 3.705942153930664, 3.5409440994262695, 3.4202687740325928, 3.316666841506958, 3.221384048461914, 3.1398677825927734]","[3.8504958152770996, 3.6539418697357178, 3.545128583908081, 3.4681355953216553, 3.3911328315734863, 3.3779590129852295, 3.326913595199585]","[512, 1024]",0.0001
"[0.07187499850988388, 0.12389999628067017, 0.1485999971628189, 0.16725000739097595, 0.17902499437332153, 0.18825000524520874, 0.19529999792575836]","[0.10450000315904617, 0.12809999287128448, 0.1599999964237213, 0.16369999945163727, 0.15150000154972076, 0.17299999296665192, 0.18039999902248383]","[4.065782070159912, 3.7368991374969482, 3.58390736579895, 3.4758706092834473, 3.3993847370147705, 3.35205078125, 3.3002219200134277]","[3.8696649074554443, 3.6976442337036133, 3.548802375793457, 3.517056703567505, 3.597456693649292, 3.478571891784668, 3.4484024047851562]","[512, 1024]",0.001
"[0.008775000460445881, 0.0085249999538064, 0.008550000376999378, 0.009724999777972698, 0.010125000029802322, 0.009025000035762787, 0.009224999696016312]","[0.010700000450015068, 0.010400000028312206, 0.00839999970048666, 0.008999999612569809, 0.008799999952316284, 0.00839999970048666, 0.009200000204145908]","[4.835259914398193, 4.61034631729126, 4.610298156738281, 4.610373020172119, 4.609890937805176, 4.610648155212402, 4.6103010177612305]","[4.6107096672058105, 4.610255241394043, 4.611960411071777, 4.607865810394287, 4.610939025878906, 4.609691619873047, 4.612050533294678]","[512, 1024]",0.01
"[0.04867500066757202, 0.10249999910593033, 0.1305750012397766, 0.15230000019073486, 0.1684499979019165, 0.18324999511241913, 0.19480000436306]","[0.08500000089406967, 0.12129999697208405, 0.13670000433921814, 0.15399999916553497, 0.1680999994277954, 0.17190000414848328, 0.17630000412464142]","[4.335180282592773, 3.9446346759796143, 3.7666430473327637, 3.6526360511779785, 3.564218044281006, 3.487396001815796, 3.4189257621765137]","[4.076765060424805, 3.8679163455963135, 3.7688405513763428, 3.6589460372924805, 3.5890965461730957, 3.5680105686187744, 3.5251359939575195]","[1024, 128]",0.0001
"[0.008200000040233135, 0.010174999944865704, 0.009499999694526196, 0.009200000204145908, 0.010324999690055847, 0.009800000116229057, 0.0101500004529953]","[0.007699999958276749, 0.00839999970048666, 0.007699999958276749, 0.007699999958276749, 0.007699999958276749, 0.008299999870359898, 0.007699999958276749]","[4.610227108001709, 4.6056809425354, 4.605691432952881, 4.605640411376953, 4.605641841888428, 4.605618000030518, 4.605651378631592]","[4.6065287590026855, 4.606296062469482, 4.607561111450195, 4.607732772827148, 4.607893466949463, 4.608024597167969, 4.60795783996582]","[1024, 128]",0.001
"[0.009850000031292439, 0.009925000369548798, 0.009850000031292439, 0.009224999696016312, 0.010049999691545963, 0.009425000287592411, 0.008550000376999378]","[0.00860000029206276, 0.008500000461935997, 0.010200000368058681, 0.008799999952316284, 0.00989999994635582, 0.008700000122189522, 0.010900000110268593]","[4.897637367248535, 4.609766483306885, 4.610426902770996, 4.610183238983154, 4.610396862030029, 4.610369682312012, 4.61033821105957]","[4.61032247543335, 4.612686634063721, 4.610150337219238, 4.610048294067383, 4.611013889312744, 4.611191272735596, 4.6107587814331055]","[1024, 128]",0.01
"[0.07462500035762787, 0.13304999470710754, 0.16597500443458557, 0.18365000188350677, 0.20454999804496765, 0.21762500703334808, 0.23442499339580536]","[0.10360000282526016, 0.14219999313354492, 0.17180000245571136, 0.18060000240802765, 0.19020000100135803, 0.19820000231266022, 0.20100000500679016]","[4.143193244934082, 3.7557449340820312, 3.5838208198547363, 3.4643125534057617, 3.3628101348876953, 3.2746737003326416, 3.1932694911956787]","[3.9151535034179688, 3.712078809738159, 3.583491086959839, 3.5196645259857178, 3.454210042953491, 3.4183008670806885, 3.371961832046509]","[1024, 512]",0.0001
"[0.07717499881982803, 0.13797500729560852, 0.1627500057220459, 0.1823749989271164, 0.19762499630451202, 0.20890000462532043, 0.22122499346733093]","[0.11100000143051147, 0.14749999344348907, 0.17059999704360962, 0.18029999732971191, 0.18019999563694, 0.19179999828338623, 0.20270000398159027]","[4.064659595489502, 3.6729421615600586, 3.518495798110962, 3.4138944149017334, 3.330230951309204, 3.2497379779815674, 3.185443878173828]","[3.8182663917541504, 3.6246914863586426, 3.525547742843628, 3.4638195037841797, 3.465425491333008, 3.414201498031616, 3.3484957218170166]","[1024, 512]",0.001
"[0.009949999861419201, 0.008724999614059925, 0.009850000031292439, 0.009750000201165676, 0.009499999694526196, 0.009549999609589577, 0.009025000035762787]","[0.007699999958276749, 0.01140000019222498, 0.008299999870359898, 0.009100000374019146, 0.009200000204145908, 0.010599999688565731, 0.007699999958276749]","[4.946281909942627, 4.610527515411377, 4.6119818687438965, 4.610071659088135, 4.609932899475098, 4.610301494598389, 4.610540866851807]","[4.6118621826171875, 4.6108503341674805, 4.608838081359863, 4.610886096954346, 4.61227560043335, 4.611543655395508, 4.611067771911621]","[1024, 512]",0.01
"[0.08347500115633011, 0.1464499980211258, 0.1746249943971634, 0.2017499953508377, 0.21610000729560852, 0.2367749959230423, 0.2546750009059906]","[0.12549999356269836, 0.15729999542236328, 0.1738000065088272, 0.1876000016927719, 0.19589999318122864, 0.2110999971628189, 0.21060000360012054]","[4.081657409667969, 3.6825082302093506, 3.5153605937957764, 3.383817672729492, 3.277456521987915, 3.1801135540008545, 3.0824780464172363]","[3.8312087059020996, 3.640108108520508, 3.5424327850341797, 3.4470036029815674, 3.415487051010132, 3.3608508110046387, 3.3346500396728516]","[1024, 1024]",0.0001
"[0.07654999941587448, 0.13574999570846558, 0.15940000116825104, 0.18230000138282776, 0.1959500014781952, 0.2105250060558319, 0.2207999974489212]","[0.1185000017285347, 0.13940000534057617, 0.16269999742507935, 0.179299995303154, 0.18299999833106995, 0.18809999525547028, 0.19670000672340393]","[4.061850547790527, 3.678807497024536, 3.522667646408081, 3.4123401641845703, 3.322638750076294, 3.2464568614959717, 3.1794049739837646]","[3.784884452819824, 3.6764426231384277, 3.5616061687469482, 3.4558918476104736, 3.433729648590088, 3.434117555618286, 3.406174659729004]","[1024, 1024]",0.001
"[0.010449999943375587, 0.009100000374019146, 0.008875000290572643, 0.009449999779462814, 0.01002500019967556, 0.009724999777972698, 0.009650000371038914]","[0.008799999952316284, 0.008799999952316284, 0.008700000122189522, 0.011099999770522118, 0.008700000122189522, 0.008700000122189522, 0.008999999612569809]","[5.049108505249023, 4.611800670623779, 4.610396385192871, 4.610166072845459, 4.610119819641113, 4.610058784484863, 4.610472202301025]","[4.611195087432861, 4.612943172454834, 4.613858222961426, 4.610608100891113, 4.611703872680664, 4.613654136657715, 4.6116414070129395]","[1024, 1024]",0.01
